Topic,Article,Author,ArticleRank,WriterRank
blockchain,637000,115000,1,7
poetry,590000,110000,2,9
cryptocurrency,542000,109000,3,10
health,474000,175000,4,1
politics,455000,137000,5,3
business,428000,126000,6,5
education,392000,152000,7,2
marketing,353000,131000,8,4
relationships,304000,90000,9,12
design,301000,123000,10,6
mental-health,298000,112000,11,8
music,270000,100000,12,11
programming,260000,89000,13,14
productivity,231000,90000,14,12
machine-learning,205000,78000,15,16
leadership,205000,68000,15,20
javascript,202000,73000,17,18
food,198000,83000,18,15
art,196000,74000,19,17
fiction,190000,54000,20,29
humor,186000,48000,21,32
artificial-intelligence,185000,70000,22,19
data-science,184000,65000,23,21
psychology,180000,58000,24,26
culture,179000,62000,25,24
books,175000,65000,26,21
creativity,167000,55000,27,28
money,157000,58000,28,26
photography,151000,52000,29,30
history,136000,48000,30,32
family,134000,59000,31,25
gaming,129000,46000,32,36
philosophy,124000,45000,33,37
parenting,122000,47000,34,34
mindfulness,119000,45000,35,37
coronavirus,119000,64000,35,23
fitness,115000,48000,37,32
lifestyle,109000,47000,38,34
film,104000,34000,39,42
climate-change,101000,44000,40,39
podcast,90000,26000,41,48
feminism,86000,44000,42,39
cybersecurity,83000,28000,43,46
beauty,72000,36000,44,41
product-management,69000,28000,45,46
religion,67000,30000,46,44
future,64000,33000,47,43
media,60000,30000,48,44
privacy,49000,25000,49,49
freelancing,49000,22000,49,50
immigration,40000,19930,51,52
economy,39000,19300,52,53
language,35000,20000,54,51
comics,35000,13300,54,58
addiction,35000,17800,54,54
astrology,34000,7300,57,67
pets,34000,15900,57,56
equality,34000,16500,57,55
nonfiction,27000,9800,59,60
race,27000,14500,59,57
cannabis,25000,9300,61,61
justice,23000,11900,62,59
disability,19800,9200,63,63
cities,18600,7700,64,65
neuroscience,18300,9300,65,61
outdoors,16800,7500,66,66
gadgets,13400,4400,67,70
accessibility,13000,8300,68,64
math,9600,4800,69,68
makers,8400,3500,70,71
gun-control,6700,4800,71,68
psychedelics,6400,3100,72,72
basic-income,4950,2700,73,73
digital-life,3100,1600,74,76
android-development,2800,1800,75,74
lgbtqia,2700,1700,76,75
ios-development,2400,1400,77,77
biotech,2000,1000,78,78
